Genome,Cluster
Collinsella aerofaciens (ATCC 25986),6
Collinsella aerofaciens (2789STDY5834902),6
Collinsella aerofaciens (2789STDY5608823),6
Collinsella aerofaciens (2789STDY5608842),6
Collinsella aerofaciens (indica),7
Collinsella aerofaciens (C11),3
Collinsella aerofaciens (P10wA7),6
Collinsella aerofaciens (1001271st1_C3),4
Collinsella aerofaciens (BSD2780061688st1_F5),3
Collinsella aerofaciens (BIOML-A1),6
Collinsella aerofaciens (BIOML-A20),3
Collinsella aerofaciens (BIOML-A19),4
Collinsella aerofaciens (BIOML-A16),4
Collinsella aerofaciens (BIOML-A18),4
Collinsella aerofaciens (BIOML-A17),4
Collinsella aerofaciens (BIOML-A14),4
Collinsella aerofaciens (BIOML-A15),4
Collinsella aerofaciens (BIOML-A13),7
Collinsella aerofaciens (BIOML-A12),4
Collinsella aerofaciens (BIOML-A11),4
Collinsella aerofaciens (BIOML-A10),7
Collinsella aerofaciens (BIOML-A9),6
Collinsella aerofaciens (BIOML-A8),3
Collinsella aerofaciens (BIOML-A7),6
Collinsella aerofaciens (BIOML-A6),6
Collinsella aerofaciens (BIOML-A5),6
Collinsella aerofaciens (BIOML-A4),6
Collinsella aerofaciens (BIOML-A2),6
Collinsella aerofaciens (BIOML-A3),3
Collinsella aerofaciens (JCM 10188),6
Collinsella aerofaciens (J1101004_170508_A10),6
Collinsella aerofaciens (1001270H_150608_H11),4
Collinsella aerofaciens (BSD2780120875b_170604_F5),3
Collinsella aerofaciens (D52t1_170925_B11),6
Collinsella aerofaciens (1001095IJ_161003_A3),4
Collinsella aerofaciens (1001095H_141210_H8),3
Collinsella aerofaciens (D6t1_180914_F6),3
Collinsella aerofaciens (D31t1_170403_C12),7
Collinsella aerofaciens (BSD2780120874b_170522_H1),4
Collinsella aerofaciens (D53t1_180928_G4),3
Collinsella aerofaciens (1001099B_141217_A1),7
Collinsella aerofaciens (1001275B_160808_H7),7
Collinsella aerofaciens (D54t1_190329_E10),6
Collinsella aerofaciens (1001136B_160425_H1),6
Collinsella aerofaciens (1001713B170131_170501_H8),3
Collinsella aerofaciens (1001095IJ_161003_F6),6
Collinsella aerofaciens (D41t1_190614_G2),7
Collinsella aerofaciens (1001713B170221_170320_E2),4
Collinsella aerofaciens (D59t2_181005_D7),6
Collinsella aerofaciens (J1100102_180507_H8),6
Collinsella aerofaciens (D40t1_170626_B5),7
Collinsella aerofaciens (MCC356),4
Collinsella aerofaciens (MCC370),6
Collinsella aerofaciens (MSK.8.35),4
Collinsella aerofaciens (MSK.1.10),5
Collinsella aerofaciens (MSK.1.11),5
Collinsella aerofaciens (K40_1),7
Collinsella aerofaciens (NBRC 114504),4
Collinsella aerofaciens (MSK.7.14),4
Collinsella aerofaciens (MSK.8.15),4
Collinsella aerofaciens (DFI.3.30),6
Collinsella aerofaciens (DFI.4.95A),4
Collinsella aerofaciens (DFI.4.85B),4
Collinsella aerofaciens (DFI.1.227),6
Collinsella aerofaciens (NB2B-13-DCM),3
Collinsella aerofaciens (ATCC 35085),6
Collinsella aerofaciens (TM115-97),4
Collinsella aerofaciens (TM115-91),4
Collinsella aerofaciens (TM115-180),4
Collinsella aerofaciens (TM115-161),4
Collinsella aerofaciens (TM115-146),4
Collinsella aerofaciens (TM115-105),4
Collinsella aerofaciens (1025st1_A9_1025SCRN_200924),6
Collinsella aerofaciens (1001262st2_G5_1001262B_160229),3
Collinsella aerofaciens (1001713st1_D6_1001713B170214_170313),3
Collinsella aerofaciens (1001713st1_F9_1001713B170207_170306),3
Collinsella aerofaciens (1001713st1_C7_1001713B170214_170313),3
Collinsella aerofaciens (1025st1_H8_1025SCRN_200924),6
Collinsella aerofaciens (1001271st1_C3_1001271B_150615),4
Collinsella aerofaciens (1001271st1_B10_1001270J_160509),4
Collinsella aerofaciens (1001174st2_H7_1001174B_160307),3
Collinsella aerofaciens (1001174st1_E7_1001174B_160307),6
Collinsella aerofaciens (1001216st1_F6_1001216I_160404),4
Collinsella aerofaciens (1001216st1_F2_1001216I_160404),4
Collinsella aerofaciens (1001095st1_H8_1001095H_141210),3
Collinsella aerofaciens (1001216st1_F1_1001216I_160404),4
Collinsella aerofaciens (1001174st2_H3_1001174B_160307),3
Collinsella aerofaciens (RTP21311st1_E7_RTP21311_201001),4
Collinsella aerofaciens (BSD2780120874st1_A6_BSD2780120874_150323),4
Collinsella aerofaciens (D54st1_E3_D54t1_190329),6
Collinsella aerofaciens (RTP21311st1_H10_RTP21311_201001),4
Collinsella aerofaciens (J1101004st1_G7_J1101004_170508),6
Collinsella aerofaciens (RTP21221st1_H3_RTP21221_200709),3
Collinsella aerofaciens (RTP21311st1_A3_RTP21311_201001),4
Collinsella aerofaciens (D40st1_F6_D40t1_170626),7
Collinsella aerofaciens (BSD2780120874st1_H4_BSD2780120874_150323),4
Collinsella aerofaciens (D54st1_B3_D54t1_190329),6
Collinsella aerofaciens (D54st1_D2_D54t1_190329),6
Collinsella aerofaciens (J1101312st1_F1_J1101312_190322),4
Collinsella aerofaciens (J1101312st1_E6_J1101312_190322),4
Collinsella aerofaciens (J1100102st1_C6_J1100102_180507),6
Collinsella aerofaciens (D59st1_D7_D59t2_181005),6
Collinsella aerofaciens (J1101312st1_B6_J1101312_190322),4
Collinsella aerofaciens (BSD2780120875st1_F1_BSD2780120875b_170604),3
Collinsella aerofaciens (J1101312st1_B10_J1101312_190322),4
Collinsella aerofaciens (D54st1_D6_D54t1_190329),6
Collinsella aerofaciens (D54st1_G2_D54t1_190329),6
Collinsella aerofaciens (D59st1_A1_D59t2_181005),6
Collinsella aerofaciens (1025st1_F4_1025SCRN_200924),6
Collinsella aerofaciens (D41st1_A6_D41t1_190614),7
Collinsella aerofaciens (D54st1_F11_D54t1_190329),6
Collinsella aerofaciens (D54st1_C1_D54t1_190329),6
Collinsella aerofaciens (D53st1_E7_D53t1_180928),3
Collinsella aerofaciens (D53st1_E3_D53t1_180928),3
Collinsella aerofaciens (D53st1_D6_D53t1_180928),3
Collinsella aerofaciens (BSD2780120874st1_C3_BSD2780120874b_170522),4
Collinsella aerofaciens (D52st1_G10_D52t1_170925),6
Collinsella aerofaciens (D35st2_F2_D35t1_190705),4
Collinsella aerofaciens (D31st1_E2_D31t1_170403),7
Collinsella aerofaciens (1001275st1_A6_1001275B_160808),7
Collinsella aerofaciens (D35st1_A12_D35t1_190705),3
Collinsella aerofaciens (1001713st1_B11_1001713B170131_170501),3
Collinsella aerofaciens (1025st1_C9_1025SCRN_200924),6
Collinsella aerofaciens (BSD3448080949st1_E7_BSD3448080949_160606),3
Collinsella aerofaciens (BSD2780061688st1_F5_BSD2780061688b_171218),3
Collinsella aerofaciens (BSD2780061688st1_C12_BSD2780061688b_171218),3
Collinsella aerofaciens (1001262st1_E3_1001262B_160229),4
Collinsella aerofaciens (1001285st1_B5_1001285I_161205),4
Collinsella aerofaciens (1001285st1_H4_1001285I_161205),4
Collinsella aerofaciens (HTF-129),6
Collinsella aerofaciens (4PBA),7
Collinsella aerofaciens (2227st1_H1_2227SCRN_220401),4
Collinsella aerofaciens (2227st1_B8_2227SCRN_220401),4
Collinsella aerofaciens (2227st1_C8_2227SCRN_220401),4
Collinsella aerofaciens (1033st2_H11_1033SCRN_220408),4
Collinsella aerofaciens (2227st1_B5_2227SCRN_220401),4
Collinsella aerofaciens (1033st2_B11_1033SCRN_220408),4
Collinsella aerofaciens (1033st1_A2_1033SCRN_220408),4
Collinsella aerofaciens (RTP31081st1_E8_RTP31081_211007),4
Collinsella aerofaciens (RTP31081st1_B2_RTP31081_211007),4
Collinsella aerofaciens (RTP31015st1_H7_RTP31015_201113),5
Collinsella aerofaciens (RTP31015st1_E1_RTP31015_201113),5
Collinsella aerofaciens (RTP31015st1_C1_RTP31015_201113),5
Collinsella aerofaciens (RTP21428st2_E2_RTP21428_210409),3
Collinsella aerofaciens (RTP31015st1_B4_RTP31015_201113),5
Collinsella aerofaciens (RTP31002st1_G1_RTP31002_201218),4
Collinsella aerofaciens (RTP21428st2_B7_RTP21428_210409),3
Collinsella aerofaciens (RTP21428st1_A12_RTP21428_210409),4
Collinsella aerofaciens (RTP21428st1_G5_RTP21428_210409),4
Collinsella aerofaciens (RTP21484st2_F4_RTP21484_190118),5
Collinsella aerofaciens (D52st1_C12_D52t1_170925),6
Collinsella aerofaciens (1001099st1_A1_1001099B_141217),7
Collinsella aerofaciens (1001099st1_B2_1001099B_141217),7
Collinsella aerofaciens (RTP21484st1_D6_RTP21484_190118),4
Collinsella aerofaciens (1001271st1_B11_1001271B_151109),4
Collinsella aerofaciens (RTP31036st1_F1_RTP31036_200814),5
Collinsella aerofaciens (RTP31036st1_D6_RTP31036_200814),5
Collinsella aerofaciens (RTP31036st1_D12_RTP31036_200814),5
Collinsella aerofaciens (RTP21222st1_G8_RTP21222_200807),3
Collinsella aerofaciens (RTP21222st1_F8_RTP21222_200807),3
Collinsella aerofaciens (RTP21222st1_G2_RTP21222_200807),3
Collinsella aerofaciens (RTP21221st1_C11_RTP21221_200709),3
Collinsella aerofaciens (RTP21191st1_F8_RTP21191_200730),5
Collinsella aerofaciens (RTP21191st1_E5_RTP21191_200730),5
Collinsella aerofaciens (RTP21191st1_E11_RTP21191_200730),5
Collinsella aerofaciens (RTP21191st1_E8_RTP21191_200730),5
